pos,corr_resp,random,seq,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,random,,0,0,0,0,0,0,0,1,,,,,14.33378929994069,15.321286299964413,15.321286299964413,15.321286299964413,15.321286299964413,15.337811300065368,16.32153129996732,16.32153129996732,v,1,0.4692112000193447,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,0,1,1,0,,,,,16.821500499965623,17.821945700095966,17.821945700095966,17.821945700095966,17.821945700095966,17.821945700095966,18.805622200015932,18.805622200015932,x,1,0.41386339999735355,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,0,2,2,2,,,,,19.239169399952516,20.239501199917868,20.239501199917868,20.239501199917868,20.239501199917868,20.239501199917868,21.23999739997089,21.23999739997089,c,1,0.49953199992887676,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,0,3,3,3,,,,,21.756886899936944,22.757041899953038,22.757041899953038,22.757041899953038,22.757041899953038,22.757041899953038,23.757636999944225,23.757636999944225,z,1,0.41921239998191595,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,1,0,4,3,,,,,24.207471099914983,25.191560999955982,25.191560999955982,25.191560999955982,25.191560999955982,25.20807940000668,26.191742999944836,26.191742999944836,z,1,0.4642824998591095,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,1,1,5,1,,,,,26.675246099941432,27.675676099956036,27.675676099956036,27.675676099956036,27.675676099956036,27.675676099956036,28.6760792999994,28.6760792999994,v,1,0.42081969999708235,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,1,2,6,2,,,,,29.12619940005243,30.126774500124156,30.126774500124156,30.126774500124156,30.126774500124156,30.126774500124156,31.110409900080413,31.110409900080413,c,1,0.4513038001023233,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,1,3,7,0,,,,,31.59372349991463,32.59433380002156,32.59433380002156,32.59433380002156,32.59433380002156,32.59433380002156,33.578030300093815,33.578030300093815,x,1,0.41279660002328455,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,2,0,8,2,,,,,34.011495999991894,35.0118440000806,35.0118440000806,35.0118440000806,35.0118440000806,35.0118440000806,36.012038900051266,36.012038900051266,c,1,0.5796197999734432,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,2,1,9,3,,,,,36.6125105000101,37.61288739996962,37.61288739996962,37.61288739996962,37.61288739996962,37.61288739996962,38.61297110002488,38.61297110002488,z,1,0.5219769000541419,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,2,2,10,0,,,,,39.16337800002657,40.16382219991647,40.16382219991647,40.16382219991647,40.16382219991647,40.16382219991647,41.16410779999569,41.16410779999569,x,1,0.47802860010415316,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,2,3,11,1,,,,,41.6641770999413,42.664732800098136,42.664732800098136,42.664732800098136,42.664732800098136,42.664732800098136,43.64864100003615,43.64864100003615,v,1,0.48686870001256466,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,3,0,12,3,,,,,44.1651123999618,45.16543549997732,45.16543549997732,45.16543549997732,45.16543549997732,45.16543549997732,46.14944100007415,46.14944100007415,z,1,0.4328169000800699,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,3,1,13,2,,,,,46.599450200097635,47.599838899914175,47.599838899914175,47.599838899914175,47.599838899914175,47.599838899914175,48.60046470002271,48.60046470002271,c,1,0.42029660008847713,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,3,2,14,1,,,,,49.050706000067294,50.051027399953455,50.051027399953455,50.051027399953455,50.051027399953455,50.051027399953455,51.05139830010012,51.05139830010012,v,1,0.4492007000371814,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,3,3,15,0,,,,,51.51787180011161,52.518441800028086,52.518441800028086,52.518441800028086,52.518441800028086,52.518441800028086,53.5188494999893,53.5188494999893,x,1,0.516558300005272,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,4,0,16,1,,,,,54.05219219997525,55.03620030009188,55.03620030009188,55.03620030009188,55.03620030009188,55.052924799965695,56.03638930013403,56.03638930013403,v,1,0.4641395998187363,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,4,1,17,3,,,,,56.519846600014716,57.52046860009432,57.52046860009432,57.52046860009432,57.52046860009432,57.52046860009432,58.52079360000789,58.52079360000789,z,1,0.49509099987335503,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,4,2,18,2,,,,,59.037694399943575,60.03802610002458,60.03802610002458,60.03802610002458,60.03802610002458,60.03802610002458,61.03830650006421,61.03830650006421,c,1,0.41009830008260906,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,4,3,19,0,,,,,61.47174800001085,62.45546349999495,62.45546349999495,62.45546349999495,62.45546349999495,62.47197509999387,63.45603389991447,63.45603389991447,x,1,0.3280835000332445,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,5,0,20,0,,,,,63.806143699912354,64.80673389998265,64.80673389998265,64.80673389998265,64.80673389998265,64.80673389998265,65.80686810007319,65.80686810007319,x,1,0.4698777999728918,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,5,1,21,1,,,,,66.30688629997894,67.30763519997708,67.30763519997708,67.30763519997708,67.30763519997708,67.30763519997708,68.30792749999091,68.30792749999091,v,1,0.4624185001011938,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,5,2,22,3,,,,,68.79135329998098,69.79162540007383,69.79162540007383,69.79162540007383,69.79162540007383,69.79162540007383,70.7919670001138,70.7919670001138,z,1,0.42394329980015755,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,5,3,23,2,,,,,71.24236129992642,72.22592479991727,72.22592479991727,72.22592479991727,72.22592479991727,72.24282209994271,73.22631580010056,73.22631580010056,c,1,0.5103173998650163,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,6,0,24,2,,,,,73.75974259991199,74.76021769992076,74.76021769992076,74.76021769992076,74.76021769992076,74.76021769992076,75.74386069993488,75.74386069993488,c,1,0.49511690018698573,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
